
Time Dependent Production (Energy Units) ELECTRICITY FROM TRANSMISSION

,DRC
,Region,year ,fuel,,TS01,TS02,TS03,TS04,TS05,TS06,TS07,TS08,TS09,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS17,TS18,TS19,TS20,TS21,TS22,TS23,TS24,TS25,TS26,TS27,TS28,TS29,TS30,TS31,TS32,TS33,TS34,TS35,TS36,TS37,TS38,TS39,TS40
,Demand,2021,D3RES,,0.0492309,0.0149801,0.0210253,0.0243427,0.0524747,0.0365362,0.0340886,0.0649925,0.062427,0.0232516,0.0340297,0.0149359,0.0207304,0.0239594,0.0516637,0.0361971,0.0335726,0.0635918,0.0611885,0.023001,0.0345015,0.0150538,0.0208926,0.0245491,0.0522535,0.0365657,0.0337053,0.064388,0.062545,0.0233696,0.0336758,0.0147295,0.0205534,0.0239594,0.0514278,0.0361823,0.0332482,0.0627809,0.0609084,0.0229125
,Demand,2021,D3IND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Demand,2021,D3OTH,,0.0111675,0.0179367,0.0241449,0.0241449,0.0250257,0.0260815,0.0135928,0.00469987,0.00343893,0.00184013,0.0110468,0.0177376,0.0238734,0.0238855,0.0247542,0.025792,0.013454,0.00464557,0.00340273,0.00181599,0.0111795,0.0179307,0.0241449,0.0241509,0.0250197,0.0260755,0.0135988,0.00469987,0.00343893,0.00184013,0.0109322,0.0175385,0.0236079,0.0236321,0.0244767,0.0255205,0.0133032,0.0045973,0.0033605,0.00179186
,Demand,2022,D3RES,,0.0671495,0.0204324,0.0286778,0.0332027,0.0715738,0.0498342,0.0464958,0.0886478,0.0851485,0.0317145,0.0464154,0.0203721,0.0282756,0.0326798,0.0704677,0.0493716,0.045792,0.0867372,0.0834592,0.0313726,0.0470589,0.020533,0.0284968,0.0334842,0.0712721,0.0498744,0.0459729,0.0878232,0.0853094,0.0318754,0.0459327,0.0200905,0.0280342,0.0326798,0.070146,0.0493515,0.0453495,0.0856312,0.0830771,0.031252
,Demand,2022,D3IND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Demand,2022,D3OTH,,0.013896,0.0223192,0.0300442,0.0300442,0.0311402,0.032454,0.0169139,0.00584818,0.00427915,0.00228972,0.0137458,0.0220714,0.0297063,0.0297214,0.0308024,0.0320937,0.0167413,0.00578061,0.00423411,0.00225969,0.013911,0.0223117,0.0300442,0.0300517,0.0311327,0.0324465,0.0169214,0.00584818,0.00427915,0.00228972,0.0136032,0.0218237,0.029376,0.0294061,0.0304571,0.0317558,0.0165536,0.00572055,0.00418156,0.00222966
,Demand,2023,D3RES,,0.085068,0.0258847,0.0363303,0.0420627,0.0906729,0.0631322,0.058903,0.112303,0.10787,0.0401774,0.0588011,0.0258083,0.0358208,0.0414003,0.0892717,0.0625462,0.0580113,0.109883,0.10573,0.0397443,0.0596164,0.0260121,0.036101,0.0424193,0.0902908,0.0631832,0.0582406,0.111258,0.108074,0.0403812,0.0581897,0.0254516,0.0355151,0.0414003,0.0888641,0.0625208,0.0574508,0.108481,0.105246,0.0395914
,Demand,2023,D3IND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Demand,2023,D3OTH,,0.0166245,0.0267016,0.0359435,0.0359435,0.0372547,0.0388265,0.020235,0.00699649,0.00511938,0.00273932,0.0164449,0.0264052,0.0355393,0.0355573,0.0368506,0.0383954,0.0200285,0.00691566,0.00506549,0.00270339,0.0166425,0.0266926,0.0359435,0.0359524,0.0372458,0.0388175,0.020244,0.00699649,0.00511938,0.00273932,0.0162742,0.0261089,0.0351441,0.03518,0.0364374,0.0379912,0.0198039,0.00684381,0.00500262,0.00266747
,Demand,2024,D3RES,,0.102987,0.031337,0.0439829,0.0509226,0.109772,0.0764302,0.0713102,0.135958,0.130591,0.0486402,0.0711868,0.0312445,0.043366,0.0501207,0.108076,0.0757208,0.0702307,0.133028,0.128001,0.0481159,0.0721738,0.0314912,0.0437053,0.0513545,0.109309,0.0764919,0.0705083,0.134694,0.130838,0.048887,0.0704466,0.0308127,0.0429959,0.0501207,0.107582,0.07569,0.0695521,0.131332,0.127415,0.0479308
